Locality,count
'S GRAVENWEZEL,1
'S-GRAVENWEZEL,8
's Gravenbrakel,1
's Gravenwezel,6
's-Gravenwezel,4
8420 - De Haan,1
AALST,27
AALTER,1
AARTSELAAR,7
ACHÊNE,1
ADINKERKE,4
AGIMONT,1
AHIN,3
AISCHE-EN-REFAIL,3
AISEAU,2
ALLE-SUR-SEMOIS,1
AMAY,5
AMONINES,3
AMPSIN,6
ANDENNE,7
ANDERLECHT,87
ANDERLUES,3
ANGLEUR,1
ANGRE,3
ANHÉE,2
ANLOY,2
ANNEVOIE-ROUILLON,1
ANS,8
ANSEREMME,1
ANSEROEUL,3
ANTHEIT,8
ANTWERPEN,146
ANTWERPEN 2000,7
ANTWERPEN 2018,7
ANTWERPEN 2050,5
ANTWERPEN 2060,1
ARBREFONTAINE,1
ARCHENNES,2
ARENDONK,3
ARLON,49
ARSIMONT,1
ASPELARE,1
ASPER,1
ASSEBROEK,2
ASTENE,22
ATH,2
ATHUS,15
ATTERT,5
ATTRE,1
AUBANGE,14
AUBY-SUR-SEMOIS,1
AUDERGHEM,5
AULNOIS,4
AUTRE-ÉGLISE,1
AUTREPPE,1
AUVELAIS,26
AVENNES,1
AVERBODE,2
AVERNAS-LE-BAUDUIN,1
AWAGNE,1
AWANS,2
AYWAILLE,1
Aaigem,1
Aalbeke,10
Aalst,229
Aalst ( Meldert ),1
Aalst (9300),42
Aalst (Moorsel),2
Aalst (Nieuwerkerken),1
Aalst Erembodegem,11
Aalst Herdersem,5
Aalst Hofstade,5
Aalst Meldert,4
Aalst Moorsel,2
Aalst Nieuwerkerken,3
Aalter,58
Aalter (Knesselare),1
Aalter Lotenhulle,1
Aarschot,67
Aarschot Rillaar,1
Aarsele,8
Aartrijke,13
Aartselaar,64
Aat,2
Achel,1
Achet,1
Adegem,15
Adinkerke,5
Affligem,50
Affligem Hekelgem,4
Agimont,1
Aiseau,2
Aiseau Presles,1
Aiseau-Presles,13
Aiseau-Presles Roselies,1
Alken,9
Alleur,13
Alost,3
Alsemberg,13
Alsemberg (Beersel),1
Alveringem,16
Amay,39
Amay Ampsin,2
Amay Ombret,1
Amblève,5
Amonine,1
Amougies,4
Andenne,39
Andenne Coutisse,1
Anderlecht,500
Anderlecht-Ring West,1
Anderlues,40
Andrimont,13
Angleur,18
Angre,4
Angreau,1
Anhee,1
Anhée,6
Annevoie-Rouillon,1
Ans,72
Ans Alleur,1
Ans Loncin,1
Anseremme,1
Anthisnes,2
Antoing,14
Antoing Fontenoy,1
Antwerp,1072
Antwerp 1,4
Antwerp 2,1
Antwerp 5,1
Antwerpen,489
Antwerpen (2000),46
Antwerpen (2018),21
Antwerpen (2020),13
Antwerpen (2050),10
Antwerpen (2060),23
Antwerpen 1,17
Antwerpen 2,4
Antwerpen 4,1
Antwerpen 6,9
Antwerpen Berchem,26
Antwerpen Berendrecht-Zandvliet-Lillo,1
"Antwerpen Berendrecht-Zandvliet-Lillo, Zandvliet",1
Antwerpen Borgerhout,24
Antwerpen Deurne,43
Antwerpen Ekeren,11
Antwerpen Ekeren Mariaburg,5
Antwerpen Hoboken,8
Antwerpen Kiel,7
Antwerpen Linkeroever,2
Antwerpen Merksem,26
Antwerpen Wilrijk,20
Antwerpen-Ekeren,1
Antwerpen-Hoboken,1
Antwerpen-Linkeroever,1
Antwerpen-Noord,7
Antwerpen-Wilrijk,1
Antwerpen-Zuid,20
Anvaing,1
Anzegem,45
Anzegem Vichte,1
Appels,3
Appelterre-Eichem,1
Arbrefontaine,2
Arc-Ainières,1
Archennes,1
Ardooie,19
Arendonk,40
Argenteau,1
Arlon,45
Arlon (Stockem),1
Arlon Heinsch,1
Arquennes,3
Arsimont,4
As,7
Aspelare,3
Asper,9
Asse,160
Asse Mollem,3
Asse Zellik,6
Assebroek,48
Assenede,28
Assenede Boekhoute,1
Assenois,1
Assesse,9
Assesse Crupet,1
Astene,14
Ath,65
Ath Ligne,1
Athus,10
Attenhoven,1
Attenrode-Wever,1
Attert,6
Aubange,29
Aubange Athus,1
Aubange Halanzy,2
Aubechies,1
Aubel,5
Auby-sur-Semois,1
Auderghem,142
Auderghem - limite Wat-Boitsfort,1
Auderghem - métro Pétillon,1
Aulnois,4
Autre-àglise,1
Auvelais,7
Avekapelle/veurne,1
Avelgem,63
Averbode,4
Awans,8
Awans Othée,2
Awenne,1
Aye,2
Aywaille,43
Aywaille Ernonheid,1
Aywaille Sougné-Remouchamps,1
BAASRODE,2
BACHTE-MARIA-LEERNE,1
BAILEUX,2
BAILLEUL,1
BAISIEUX,1
BAISY-THY,5
BALEN,6
BALÂTRE,2
BAMBOIS,1
BARRY,2
BARVAUX,3
BARVAUX-SUR-OURTHE,1
BAS-OHA,1
BASECLES,5
BASTOGNE,1
BASÈCLES,1
BATTICE,1
BAUDOUR (Saint-Ghislain),1
BAZEL,1
BEAUFAYS,5
BEAURAING,1
BEERSE,1
BEERZEL,3
BEGIJNENDIJK,1
BEKEGEM,1
BELLEFONTAINE,1
BELLEGEM,1
BELLEVAUX,1
BELOEIL,3
BEN-AHIN,1
BERCHEM,29
BERCHEM (ANTWERPEN),1
BERCHEM-SAINTE-AGATHE,24
BERENDRECHT,2
BERG,2
BERINGEN,1
BERLAAR,2
BERLARE,1
BERNISSART,1
BERTOGNE,1
BESONRIEUX,2
BETEKOM,1
BEUZET,2
BEVEL,1
BEVERE,2
BEVEREN,7
BEVEREN- LEIE,7
BEYNE-HEUSAY,3
BIERGHES,4
BIERSET,1
BIEZ,3
BIÈVRE,2
BLAASVELD,8
BLAIMONT,5
BLANKENBERGE,49
BLANMONT,1
BLAREGNIES,2
BLAUGIES,1
BLEGNY,1
BLÉGNY,1
BLÉHARIES,1
BOECHOUT,2
BOIS-D'HAINE,1
BOIS-ET-BORSU,1
BOMAL,1
BOMAL-SUR-OURTHE,1
BON-SECOURS,1
BONCELLES,8
BONHEIDEN,4
BONLEZ,3
BONNEVILLE,2
BOOM,4
BOORTMEERBEEK,9
BORGERHOUT,22
BORLO,1
BORNEM,1
BORSBEEK,7
BOSSUT-GOTTECHAIN,3
BOST,1
BOUFFIOULX,6
BOUGE,2
BOUILLON,1
BOUSSU,2
BOUSSU-BOIS,1
BOUSVAL,1
BRAINE-LE-CHÂTEAU,11
BRAINE-LE-COMTE,4
BRAKEL,4
BRAKEL (NEDERBRAKEL),1
BRANST,1
BRASSCHAAT,8
BRAY,2
BRECHT,1
BREENDONK,3
BRESSOUX,2
BROECHEM,3
BRUSSEGEM,2
BRUSSEL,11
