ID,Price,region,provience,District,Postal_Code,Locality,Latitude,Longitude,Construction_Year,Condition,Type,Subtype,Bedroom_Count,Land_Surface,Kitchen_Type,Sale_Type,Furnished,Fireplace_Exists,Has_Terrace,Terrace_Surface,Has_Garden,Garden_Surface,Habitable_Surface,Facade_Count,Swimming_Pool,Indoor_Parking,Outdoor_Parking,Heating_Type,Energy_Consumption_Level,EPC,Double_glazing,Cadastral_income
10831804,259000,Flanders,West Flanders,Oostend,8400,Oostende,51.2283921,2.9210423,0,None,APARTMENT,APARTMENT,2,0,None,None,None,0,None,0,None,0,85,0,None,None,None,None,None,None,None,None
11141730,159000,Wallonie,Liège,Liège,4020,Liege,50.6401794,5.588265,0,None,APARTMENT,APARTMENT,2,0,None,None,None,0,1.0,0,None,0,90,0,None,None,None,None,None,None,None,None
11140517,330000,Brussels,Brussels,Brussels,1040,Etterbeek,None,None,0,None,APARTMENT,APARTMENT,2,0,None,None,0.0,0,None,0,None,0,80,0,0.0,None,None,None,None,None,None,None
11140128,255000,Brussels,Brussels,Brussels,1140,Evere,None,None,0,None,APARTMENT,APARTMENT,2,0,None,None,None,1,None,0,None,0,85,0,None,None,None,None,None,None,None,None
11140127,349000,Brussels,Brussels,Brussels,1160,Woluwé Saint Pierre,None,None,0,None,APARTMENT,APARTMENT,2,0,None,None,None,1,1.0,4,None,0,82,0,None,None,None,None,None,None,None,None
11140279,312475,Flanders,Antwerp,Turnhout,2300,Turnhout,51.3231065,4.9509853,0,None,APARTMENT,APARTMENT,2,0,None,None,None,1,1.0,17,None,0,117,0,None,None,None,None,None,None,None,None
11139441,143000,Brussels,Brussels,Brussels,1080,Molenbeek-Saint-Jean,None,None,0,None,APARTMENT,APARTMENT,1,0,None,None,None,0,1.0,8,None,0,72,0,0.0,None,None,None,None,None,None,None
11140281,330000,Flanders,Antwerp,Turnhout,2275,Lille,51.2454659,4.828991,2022,None,APARTMENT,PENTHOUSE,2,0,INSTALLED,None,None,1,1.0,15,None,0,98,4,None,None,None,None,None,None,1.0,0.0
11139675,380000,Brussels,Brussels,Brussels,1180,Uccle,None,None,0,AS_NEW,APARTMENT,APARTMENT,2,0,USA_HYPER_EQUIPPED,None,None,1,1.0,6,None,0,100,2,None,1.0,None,FUELOIL,None,None,1.0,1130.0
11139678,265000,Wallonie,Liège,Liège,4051,Vaux-sous-Chèvremont,50.5962374,5.63098,0,None,APARTMENT,APARTMENT,3,0,None,None,None,0,1.0,10,None,0,103,0,None,None,None,None,None,None,None,None
11138531,275000,Flanders,West Flanders,Ieper,8980,Beselare,50.8488469,3.0241647,0,None,APARTMENT,DUPLEX,2,0,None,None,None,0,None,0,1.0,9,104,0,None,None,None,None,None,None,None,None
11120937,220000,Flanders,Antwerp,Antwerp,2610,Wilrijk,51.1662689,4.3839702,1968,TO_RENOVATE,APARTMENT,APARTMENT,2,0,None,None,None,1,1.0,6,None,0,91,2,None,1.0,1.0,None,563.0,F,1.0,726.0
11138893,305000,Flanders,Antwerp,Antwerp,2160,Wommelgem,51.2038279,4.4863896,2005,None,APARTMENT,APARTMENT,3,0,INSTALLED,None,None,1,1.0,0,None,0,112,2,None,None,2.0,GAS,108.0,B,1.0,0.0
11138895,295000,Flanders,Antwerp,Antwerp,2930,Brasschaat,51.2886803,4.4885068,0,None,APARTMENT,APARTMENT,2,0,None,None,None,1,1.0,3,None,0,118,0,None,None,None,None,None,None,None,None
11138900,255000,Brussels,Brussels,Brussels,1082,Berchem-Sainte-Agathe,50.8645157,4.2965778,0,None,APARTMENT,APARTMENT,2,0,None,None,None,0,1.0,10,None,0,85,0,0.0,None,None,None,None,None,None,None
11138712,299000,Flanders,Antwerp,Antwerp,2650,Edegem,None,None,2012,AS_NEW,APARTMENT,APARTMENT,1,0,NOT_INSTALLED,None,None,1,1.0,10,1.0,70,69,2,None,1.0,None,None,167.0,B,1.0,0.0
11138363,395000,Brussels,Brussels,Brussels,1090,Jette,None,None,0,None,APARTMENT,DUPLEX,2,0,None,None,None,0,None,0,1.0,50,143,0,0.0,None,None,None,None,None,None,None
11138364,495000,Brussels,Brussels,Brussels,1000,Brussel,50.8506724,4.3562902,0,None,APARTMENT,APARTMENT,3,0,None,None,1.0,0,1.0,25,None,0,101,0,None,None,None,None,None,None,None,None
11138724,345000,Flanders,Antwerp,Antwerp,2000,Antwerp,51.2129028,4.3977603,0,GOOD,APARTMENT,APARTMENT,2,0,INSTALLED,None,None,1,1.0,14,None,0,85,2,None,None,None,GAS,124.0,B,1.0,0.0
11138347,1325000,Flanders,East Flanders,Gent,9000,Gent,51.0294559,3.7125958,0,None,APARTMENT,PENTHOUSE,3,0,None,None,None,0,1.0,58,None,0,180,0,None,None,None,None,None,None,None,None
11138357,565000,Flanders,East Flanders,Gent,9051,Gent,51.0223643,3.6929898,0,None,APARTMENT,APARTMENT,3,0,None,None,None,0,1.0,0,None,0,197,0,None,None,None,None,None,None,None,None
11138375,139500,Flanders,East Flanders,Sint-Niklaas,9100,Sint-Niklaas,51.1544646,4.1583257,0,None,APARTMENT,APARTMENT,1,0,None,None,None,0,1.0,0,None,0,62,0,None,None,None,None,None,None,None,None
11138386,179000,Wallonie,Liège,Huy,4480,HERMALLE-SOUS-HUY,50.5612521,5.3666731,0,None,APARTMENT,PENTHOUSE,2,0,None,None,0.0,0,1.0,16,None,0,55,0,0.0,None,None,None,None,None,None,None
